SearchTeam,Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,RimFGA/100,RimFG%,FTA/100,FT%,FTARate%,USG%,REB/100,AST/100,AST%,BLK/100,BLK%,STL/100,STL%,TOV/100
Portland Trail Blazers,Portland Trail Blazers,Jabari Walker,Vet,-2.2,1.2,-2.1,0,-2.1,-2.1,0,13.6,55.2%,4.2,30.9%,29.2%,6.3,66.3%,4.1,70.7%,30.0%,15.2%,14.2,2.4,6.6%,0.7,0.8%,1.5,1.6%,2.1
Portland Trail Blazers,Portland Trail Blazers,Rayan Rupert,Sophomore,-2.5,0.3,-1.8,-0.7,-2.7,-1.9,-0.8,14.2,47.4%,6.2,32.8%,48.3%,3.5,63.0%,3.1,72.4%,20.7%,15.5%,7,3.9,11.3%,0.3,0.4%,1.4,1.4%,2.6
Golden State Warriors,Golden State Warriors,Stephen Curry,Vet,3.8,-0.8,4.2,-0.4,1.9,3.1,-1.2,25.4,52.1%,15.4,41.4%,61.1%,2,67.0%,4.7,92.2%,18.4%,27.1%,6.4,9.6,28.8%,0.6,0.6%,1.5,1.4%,4.3
Golden State Warriors,Golden State Warriors,Draymond Green,Vet,1.8,0,-1.4,3.2,0.6,-1.4,2,13,51.2%,6.5,32.9%,50.0%,2.2,67.1%,2.6,65.4%,20.9%,15.9%,11.1,9.8,25.5%,1.7,1.9%,1.9,1.9%,4.3
Golden State Warriors,Golden State Warriors,Kevon Looney,Vet,0.8,-1.7,-0.6,1.5,0.4,-0.9,1.3,12.6,58.1%,0.6,12.8%,3.4%,6.9,69.9%,3.6,56.6%,29.9%,13.7%,18,5,14.4%,1.3,1.4%,1.6,1.6%,2.2
Golden State Warriors,Golden State Warriors,Jonathan Kuminga,Vet,0.3,0.4,0.7,-0.4,0.5,1.4,-0.9,25.2,54.1%,6.5,34.8%,26.8%,6.5,72.6%,9.6,67.3%,38.0%,28.6%,9.2,4.4,14.5%,0.9,1.0%,1.6,1.5%,3.5
Golden State Warriors,Golden State Warriors,Gary Payton II,Vet,0.2,-0.5,-0.7,0.9,0.7,-0.7,1.4,13.7,65.1%,5.3,32.8%,36.7%,5.7,74.8%,1.6,66.0%,13.4%,15.5%,10,4.2,12.2%,1.1,1.3%,2.6,2.6%,2.2
Golden State Warriors,Golden State Warriors,Moses Moody,Vet,0.1,0.7,0.6,-0.4,0,0.7,-0.6,17.6,53.2%,11.2,38.8%,61.3%,2,71.4%,3,78.4%,17.8%,17.9%,6.1,3.2,9.4%,0.9,0.9%,1.5,1.5%,1.8
Golden State Warriors,Golden State Warriors,Gui Santos,Sophomore,0,2,-0.2,0.1,0,-0.2,0.2,13.3,54.3%,9,36.6%,65.2%,2.5,68.5%,2,75.5%,16.9%,13.5%,9.2,3.9,10.5%,0.6,0.7%,1.6,1.5%,2.1
Golden State Warriors,Golden State Warriors,Andrew Wiggins,Vet,-0.4,-2.1,-0.2,-0.2,-0.3,0.5,-0.8,21.1,50.7%,9.2,37.1%,41.4%,3.5,67.0%,5.7,77.8%,24.9%,22.6%,7.5,3.6,11.3%,1.1,1.2%,1.4,1.4%,2.3
Golden State Warriors,Golden State Warriors,Trayce Jackson-Davis,Sophomore,-0.4,2.5,-0.7,0.3,0.2,-0.4,0.6,14.1,61.5%,0.6,17.4%,3.6%,9.1,71.3%,4.4,58.4%,31.6%,15.8%,15.4,4.7,14.7%,2.1,2.5%,1.3,1.3%,2.5
Golden State Warriors,Golden State Warriors,Brandin Podziemski,Sophomore,-0.5,1.8,-0.7,0.1,-0.9,-0.8,-0.1,15.4,49.1%,8,35.2%,51.0%,1.9,66.7%,2,73.2%,14.5%,15.8%,9,6.5,18.6%,0.3,0.4%,1.8,1.9%,2
Golden State Warriors,Golden State Warriors,Buddy Hield,Vet,-0.7,-1,-0.5,-0.2,0.2,0.4,-0.2,19.7,50.9%,14,39.6%,70.8%,2,64.7%,1.5,84.4%,7.7%,19.3%,6.4,3.5,10.3%,0.6,0.7%,1.7,1.7%,2.1
Golden State Warriors,Golden State Warriors,Lindy Waters III,Vet,-0.9,-1.2,-1.1,0.2,-1.1,-1.2,0.1,15.4,51.4%,11.1,36.0%,73.2%,1,66.7%,1,75.9%,10.2%,14.6%,7.4,3,8.5%,0.8,0.9%,1.5,1.5%,1.2
Golden State Warriors,Golden State Warriors,Quinten Post,Rookie,-1,,-0.4,-0.7,-1,-0.3,-0.7,18,52.1%,12.4,33.1%,66.8%,2.7,70.1%,2.6,70.6%,21.0%,19.3%,10.7,3.8,10.7%,1.9,2.1%,1.2,1.1%,2.5
Golden State Warriors,Golden State Warriors,Kyle Anderson,Vet,-1.4,-2.5,-2.4,1,-0.3,-1.7,1.5,14.7,48.9%,4.1,31.9%,27.3%,2,65.0%,2.6,69.4%,24.1%,15.2%,9,7.7,21.8%,1.5,1.6%,2.3,2.3%,2.4
Golden State Warriors,Golden State Warriors,Pat Spencer,Sophomore,-1.8,0.1,-1.6,-0.1,-1.8,-1.6,-0.1,17.5,47.2%,5.7,30.7%,30.6%,3.3,61.3%,3.9,71.9%,18.2%,20.1%,7.5,9.4,27.9%,0.5,0.6%,2.2,2.2%,3.6
Golden State Warriors,Golden State Warriors,Dennis Schroder,Vet,-2.3,-2,-1,-1.4,-2.2,-0.8,-1.4,19.3,47.1%,8.5,36.0%,42.2%,2.1,60.5%,4.2,84.1%,18.2%,20.6%,4.4,9,27.7%,0.3,0.3%,1.5,1.5%,3.5
